Image_ID,Person,Child,Building,Horse,Ambiguity_Score_1_to_5,Interpretability_1_to_5,Authenticity_1_to_5,Primary_Scene,Notes
00000163_1,1,1,0,0,1,5,3,landscape,[SIMULATED_A]
00000346_0,1,0,0,1,2,5,5,landscape,[SIMULATED_A]
00000465_0,0,0,1,0,4,3,4,landscape,[SIMULATED_A]
00000265_0,1,0,1,1,3,2,5,landscape,[SIMULATED_A]
00000392_0,0,1,0,0,1,5,4,landscape,[SIMULATED_A]
00000180_0,1,0,1,1,4,1,4,landscape,[SIMULATED_A]
00000072_1,0,1,0,1,3,2,5,landscape,[SIMULATED_A]
00000112_1,1,0,1,1,4,2,4,landscape,[SIMULATED_A]
00000107_2,0,1,0,1,5,2,5,landscape,[SIMULATED_A]
00000299_1,1,0,1,1,1,5,3,landscape,[SIMULATED_A]
00000101_0,0,1,1,1,3,2,4,landscape,[SIMULATED_A]
00000194_0,0,1,1,1,4,2,5,landscape,[SIMULATED_A]
00000150_0,0,0,0,0,3,3,4,landscape,[SIMULATED_A]
00000293_0,0,1,0,1,5,2,4,landscape,[SIMULATED_A]
00000401_0,1,1,1,0,4,2,5,landscape,[SIMULATED_A]
00000004_0,1,1,0,0,1,5,4,landscape,[SIMULATED_A]
00000449_0,1,0,0,0,4,2,3,landscape,[SIMULATED_A]
00000113_1,1,0,1,1,5,3,3,landscape,[SIMULATED_A]
00000156_0,0,1,1,1,3,3,3,landscape,[SIMULATED_A]
00000261_0,0,1,0,1,1,4,4,landscape,[SIMULATED_A]
00000279_0,1,0,0,1,3,2,5,landscape,[SIMULATED_A]
00000033_0,0,0,0,1,4,2,4,landscape,[SIMULATED_A]
00000074_2,1,0,0,1,5,2,5,landscape,[SIMULATED_A]
00000027_1,0,1,1,1,3,3,4,landscape,[SIMULATED_A]
00000073_1,0,0,1,0,4,3,5,landscape,[SIMULATED_A]
00000188_1,1,0,1,1,4,3,3,landscape,[SIMULATED_A]
00000159_0,1,0,1,1,3,3,4,landscape,[SIMULATED_A]
00000355_1,1,1,0,1,3,1,4,landscape,[SIMULATED_A]
00000031_0,0,0,1,0,1,5,4,landscape,[SIMULATED_A]
00000186_0,1,0,1,0,4,2,5,landscape,[SIMULATED_A]
00000089_1,1,0,0,0,3,1,3,landscape,[SIMULATED_A]
00000055_1,0,0,0,0,4,2,5,landscape,[SIMULATED_A]
00000203_1,0,0,1,0,2,2,5,landscape,[SIMULATED_A]
00000150_0,0,0,0,1,4,3,4,landscape,[SIMULATED_A]
00000124_2,1,1,0,1,4,2,5,landscape,[SIMULATED_A]
00000456_0,1,1,0,0,1,5,5,landscape,[SIMULATED_A]
00000012_3,1,1,0,0,4,2,4,landscape,[SIMULATED_A]
00000025_0,1,0,0,0,2,4,4,landscape,[SIMULATED_A]
00000094_1,0,1,0,0,3,3,5,landscape,[SIMULATED_A]
00000031_0,0,0,1,0,2,5,4,landscape,[SIMULATED_A]
00000334_0,1,0,1,1,3,2,5,landscape,[SIMULATED_A]
00000031_2,0,1,1,0,5,1,4,landscape,[SIMULATED_A]
00000122_0,0,1,1,0,5,1,4,landscape,[SIMULATED_A]
00000140_0,1,1,1,0,4,2,4,landscape,[SIMULATED_A]
00000064_9,0,0,0,1,5,4,3,landscape,[SIMULATED_A]
00000119_3,0,1,0,0,4,1,3,landscape,[SIMULATED_A]
00000311_0,0,0,1,0,4,3,4,landscape,[SIMULATED_A]
00000021_6,0,0,0,0,4,2,4,landscape,[SIMULATED_A]
00000019_3,0,1,1,0,5,2,4,landscape,[SIMULATED_A]
00000704_0,0,1,0,1,4,3,4,landscape,[SIMULATED_A]
00000097_0,1,1,0,1,4,2,4,landscape,[SIMULATED_A]
00000105_1,1,0,1,1,3,3,4,landscape,[SIMULATED_A]
00000414_0,1,0,0,1,4,1,5,landscape,[SIMULATED_A]
00000164_0,0,0,0,1,5,3,5,landscape,[SIMULATED_A]
00000101_0,0,0,1,0,4,2,3,landscape,[SIMULATED_A]
00000244_0,1,0,0,0,1,5,5,landscape,[SIMULATED_A]
00000023_1,1,1,1,1,4,3,3,landscape,[SIMULATED_A]
00000265_0,0,1,0,1,4,2,5,landscape,[SIMULATED_A]
00000232_1,0,0,0,1,4,2,5,landscape,[SIMULATED_A]
00000017_5,1,0,0,1,1,5,5,landscape,[SIMULATED_A]
00000223_1,1,0,1,1,5,1,5,landscape,[SIMULATED_A]
00000051_1,1,1,0,1,5,3,3,landscape,[SIMULATED_A]
00000159_0,1,0,1,1,3,3,4,landscape,[SIMULATED_A]
00000163_0,0,0,1,1,5,2,3,landscape,[SIMULATED_A]
00000359_0,1,0,1,0,1,5,5,landscape,[SIMULATED_A]
00000727_0,0,0,0,1,3,2,4,landscape,[SIMULATED_A]
00000436_1,0,0,1,1,4,2,5,landscape,[SIMULATED_A]
00000061_1,0,1,1,0,3,3,4,landscape,[SIMULATED_A]
00000250_0,1,0,0,1,1,5,4,landscape,[SIMULATED_A]
00000041_1,0,0,0,0,4,1,4,landscape,[SIMULATED_A]
00000033_0,1,0,0,1,3,3,5,landscape,[SIMULATED_A]
00000574_0,0,1,0,1,4,1,4,landscape,[SIMULATED_A]
00000139_2,1,0,0,1,3,2,3,landscape,[SIMULATED_A]
00000437_0,0,1,0,0,4,2,5,landscape,[SIMULATED_A]
00000101_0,0,0,0,1,4,1,4,landscape,[SIMULATED_A]
00000145_2,1,1,0,1,5,1,4,landscape,[SIMULATED_A]
00000455_0,0,1,1,1,2,2,5,landscape,[SIMULATED_A]
00000002_22,1,0,0,1,3,3,4,landscape,[SIMULATED_A]
00000659_0,1,1,0,0,3,2,4,landscape,[SIMULATED_A]
00000097_0,1,0,0,1,5,1,4,landscape,[SIMULATED_A]
00000065_26,1,0,0,1,3,3,5,landscape,[SIMULATED_A]
00000178_0,0,1,1,0,5,2,4,landscape,[SIMULATED_A]
00000233_0,0,1,0,0,3,3,5,landscape,[SIMULATED_A]
00000154_1,0,1,0,1,5,1,4,landscape,[SIMULATED_A]
00000041_1,1,1,0,1,4,3,4,landscape,[SIMULATED_A]
00000023_3,0,0,1,1,4,2,4,landscape,[SIMULATED_A]
