image_id,raw_name,width,height,scene_labels,n_scene_labels,n_boxes,label_teaching,label_family,label_playing,label_landscape,label_drawing
00000053_1,images/PPN1756550050_00000053_1.jpg,358,398,drawing,1,1,0,0,0,0,1
00000114_3,images/PPN1756638209_00000114_3.jpg,570,384,drawing,1,0,0,0,0,0,1
00000080_0,images/PPN1756641218_00000080_0.jpg,840,1056,drawing,1,0,0,0,0,0,1
00000122_0,images/PPN1756641218_00000122_0.jpg,2276,2448,landscape,1,0,0,0,0,1,0
00000150_0,images/PPN1756641218_00000150_0.jpg,1840,1552,playing,1,0,0,0,1,0,0
00000122_0,images/PPN1756641668_00000122_0.jpg,2224,1102,drawing,1,0,0,0,0,0,1
00000129_1,images/PPN1756641668_00000129_1.jpg,2508,2318,playing,1,0,0,0,1,0,0
00000130_1,images/PPN1756641668_00000130_1.jpg,2636,350,drawing,1,0,0,0,0,0,1
00000177_1,images/PPN1756641668_00000177_1.jpg,2372,2188,family,1,0,0,1,0,0,0
00000197_0,images/PPN1756641668_00000197_0.jpg,2440,2024,family,1,0,0,1,0,0,0
00000069_1,images/PPN1756642230_00000069_1.jpg,2092,2348,family,1,0,0,1,0,0,0
00000112_0,images/PPN1756642230_00000112_0.jpg,2938,4212,family,1,0,0,1,0,0,0
00000164_0,images/PPN1756642230_00000164_0.jpg,1422,1638,drawing,1,0,0,0,0,0,1
00000043_1,images/PPN1756648816_00000043_1.jpg,1238,1312,drawing,1,0,0,0,0,0,1
00000078_0,images/PPN1756648816_00000078_0.jpg,2256,2542,landscape,1,0,0,0,0,1,0
00000081_1,images/PPN1756648816_00000081_1.jpg,1044,1296,drawing,1,0,0,0,0,0,1
00000084_1,images/PPN1756648816_00000084_1.jpg,1194,1930,drawing,1,0,0,0,0,0,1
00000090_0,images/PPN1756648816_00000090_0.jpg,810,1476,landscape,1,0,0,0,0,1,0
00000106_0,images/PPN1756648816_00000106_0.jpg,1854,2352,family,1,0,0,1,0,0,0
00000117_1,images/PPN1756648816_00000117_1.jpg,476,308,drawing,1,0,0,0,0,0,1
00000120_1,images/PPN1756648816_00000120_1.jpg,1138,1692,landscape,1,0,0,0,0,1,0
00000127_0,images/PPN1756648816_00000127_0.jpg,524,366,drawing,1,0,0,0,0,0,1
00000136_1,images/PPN1756648816_00000136_1.jpg,1200,2668,landscape,1,0,0,0,0,1,0
00000184_0,images/PPN1756648816_00000184_0.jpg,614,1490,drawing,1,0,0,0,0,0,1
00000184_1,images/PPN1756648816_00000184_1.jpg,1122,2096,drawing,1,0,0,0,0,0,1
00000194_1,images/PPN1756648816_00000194_1.jpg,1304,1672,drawing,1,0,0,0,0,0,1
00000214_0,images/PPN1756648816_00000214_0.jpg,958,1276,drawing,1,0,0,0,0,0,1
00000215_1,images/PPN1756648816_00000215_1.jpg,1050,1216,family,1,0,0,1,0,0,0
00000218_0,images/PPN1756648816_00000218_0.jpg,2658,3254,drawing,1,0,0,0,0,0,1
00000220_0,images/PPN1756648816_00000220_0.jpg,774,1132,drawing,1,0,0,0,0,0,1
00000222_0,images/PPN1756648816_00000222_0.jpg,870,1518,drawing,1,0,0,0,0,0,1
00000238_1,images/PPN1756648816_00000238_1.jpg,840,1230,drawing,1,0,0,0,0,0,1
00000247_0,images/PPN1756648816_00000247_0.jpg,1112,1356,drawing,1,0,0,0,0,0,1
00000247_1,images/PPN1756648816_00000247_1.jpg,718,1252,drawing,1,0,0,0,0,0,1
00000254_0,images/PPN1756648816_00000254_0.jpg,648,876,drawing,1,0,0,0,0,0,1
00000269_1,images/PPN1756648816_00000269_1.jpg,2740,3042,landscape,1,0,0,0,0,1,0
00000272_0,images/PPN1756648816_00000272_0.jpg,1958,1990,family,1,0,0,1,0,0,0
00000273_0,images/PPN1756648816_00000273_0.jpg,932,1574,landscape,1,0,0,0,0,1,0
00000052_0,images/PPN1756650470_00000052_0.jpg,674,588,drawing,1,0,0,0,0,0,1
00000043_1,images/PPN1756655391_00000043_1.jpg,1194,1736,drawing,1,0,0,0,0,0,1
00000052_0,images/PPN1756655391_00000052_0.jpg,1488,1144,drawing,1,0,0,0,0,0,1
00000061_5,images/PPN1756655391_00000061_5.jpg,2394,1746,drawing,1,0,0,0,0,0,1
00000045_1,images/PPN1756904235_00000045_1.jpg,434,504,drawing,1,0,0,0,0,0,1
00000013_0,images/PPN1756904537_00000013_0.jpg,2152,1314,landscape,1,0,0,0,0,1,0
00000015_0,images/PPN1756904537_00000015_0.jpg,2024,1472,landscape,1,0,0,0,0,1,0
00000031_0,images/PPN1756904537_00000031_0.jpg,494,546,drawing,1,0,0,0,0,0,1
00000033_1,images/PPN1756904537_00000033_1.jpg,2084,1398,playing,1,0,0,0,1,0,0
00000035_1,images/PPN1756904537_00000035_1.jpg,2098,1696,landscape,1,0,0,0,0,1,0
00000041_1,images/PPN175690989X_00000041_1.jpg,398,324,drawing,1,0,0,0,0,0,1
00000101_0,images/PPN175690989X_00000101_0.jpg,3136,2332,drawing,1,0,0,0,0,0,1
00000104_1,images/PPN175690989X_00000104_1.jpg,770,436,drawing,1,0,0,0,0,0,1
00000063_1,images/PPN1756910774_00000063_1.jpg,3402,1534,landscape,1,0,0,0,0,1,0
00000087_1,images/PPN1756910774_00000087_1.jpg,402,354,drawing,1,0,0,0,0,0,1
00000099_1,images/PPN1756910774_00000099_1.jpg,716,468,drawing,1,0,0,0,0,0,1
00000116_1,images/PPN1756910774_00000116_1.jpg,2712,1958,playing,1,0,0,0,1,0,0
00000126_2,images/PPN1756910774_00000126_2.jpg,1886,2240,playing,1,0,0,0,1,0,0
00000135_1,images/PPN1756910774_00000135_1.jpg,1806,1346,playing,1,0,0,0,1,0,0
00000159_0,images/PPN1756910774_00000159_0.jpg,2224,1848,family,1,0,0,1,0,0,0
00000165_1,images/PPN1756910774_00000165_1.jpg,1352,1732,playing,1,0,0,0,1,0,0
00000210_0,images/PPN1756910774_00000210_0.jpg,3548,2600,drawing,1,0,0,0,0,0,1
00000247_0,images/PPN1756910774_00000247_0.jpg,984,578,drawing,1,0,0,0,0,0,1
00000247_2,images/PPN1756910774_00000247_2.jpg,3534,3666,landscape,1,0,0,0,0,1,0
00000261_0,images/PPN1756910774_00000261_0.jpg,2568,2522,family,1,0,0,1,0,0,0
00000281_0,images/PPN1756910774_00000281_0.jpg,476,530,drawing,1,0,0,0,0,0,1
00000093_0,images/PPN1757041184_00000093_0.jpg,2708,1690,landscape,1,0,0,0,0,1,0
00000090_0,images/PPN1757107436_00000090_0.jpg,2002,1402,family,1,0,0,1,0,0,0
00000122_0,images/PPN1757107436_00000122_0.jpg,1940,1458,family,1,0,0,1,0,0,0
00000013_0,images/PPN1758479787_00000013_0.jpg,3008,2164,drawing,1,0,0,0,0,0,1
00000013_1,images/PPN1758479787_00000013_1.jpg,3008,2392,drawing,1,0,0,0,0,0,1
00000017_1,images/PPN1758479787_00000017_1.jpg,2992,2054,landscape,1,0,0,0,0,1,0
00000019_0,images/PPN1758479787_00000019_0.jpg,3074,4344,landscape,1,0,0,0,0,1,0
00000028_1,images/PPN1759088099_00000028_1.jpg,1426,1240,drawing,1,0,0,0,0,0,1
00000042_1,images/PPN1759088099_00000042_1.jpg,1056,3274,drawing,1,0,0,0,0,0,1
00000047_1,images/PPN1759164895_00000047_1.jpg,2334,1612,playing,1,0,0,0,1,0,0
00000059_1,images/PPN1759164895_00000059_1.jpg,1040,1460,drawing,1,0,0,0,0,0,1
00000079_1,images/PPN1759164895_00000079_1.jpg,2288,1556,drawing,1,0,0,0,0,0,1
00000101_0,images/PPN1759164895_00000101_0.jpg,2462,1624,family,1,0,0,1,0,0,0
00000081_1,images/PPN1759167401_00000081_1.jpg,3720,2210,drawing,1,0,0,0,0,0,1
00000091_1,images/PPN1759167401_00000091_1.jpg,4170,5752,family,1,0,0,1,0,0,0
00000093_0,images/PPN1759167401_00000093_0.jpg,3624,4616,drawing,1,0,0,0,0,0,1
00000025_2,images/PPN1759169900_00000025_2.jpg,2782,2240,family,1,0,0,1,0,0,0
00000028_4,images/PPN1759169900_00000028_4.jpg,624,552,drawing,1,0,0,0,0,0,1
00000078_0,images/PPN1759171719_00000078_0.jpg,2086,1622,family,1,0,0,1,0,0,0
00000024_5,images/PPN1759171956_00000024_5.jpg,1058,1268,drawing,1,0,0,0,0,0,1
00000026_3,images/PPN1759171956_00000026_3.jpg,952,1202,drawing,1,0,0,0,0,0,1
00000028_3,images/PPN1759171956_00000028_3.jpg,726,902,drawing,1,0,0,0,0,0,1
00000034_2,images/PPN1759171956_00000034_2.jpg,586,580,drawing,1,0,0,0,0,0,1
00000034_4,images/PPN1759171956_00000034_4.jpg,1400,2990,drawing,1,0,0,0,0,0,1
00000052_2,images/PPN1759171956_00000052_2.jpg,2032,1140,teaching,1,0,1,0,0,0,0
00000061_3,images/PPN1759171956_00000061_3.jpg,1392,1696,drawing,1,0,0,0,0,0,1
00000067_1,images/PPN1759171956_00000067_1.jpg,398,606,drawing,1,0,0,0,0,0,1
00000075_1,images/PPN1759171956_00000075_1.jpg,1456,2412,drawing,1,0,0,0,0,0,1
00000076_1,images/PPN1759171956_00000076_1.jpg,962,800,drawing,1,0,0,0,0,0,1
00000078_0,images/PPN1759171956_00000078_0.jpg,2736,3532,drawing,1,0,0,0,0,0,1
00000080_2,images/PPN1759171956_00000080_2.jpg,1074,962,drawing,1,0,0,0,0,0,1
00000082_3,images/PPN1759171956_00000082_3.jpg,1142,1048,drawing,1,0,0,0,0,0,1
00000082_4,images/PPN1759171956_00000082_4.jpg,1200,1254,drawing,1,0,0,0,0,0,1
00000085_3,images/PPN1759171956_00000085_3.jpg,726,322,drawing,1,0,0,0,0,0,1
00000085_5,images/PPN1759171956_00000085_5.jpg,448,842,drawing,1,0,0,0,0,0,1
00000112_0,images/PPN1759171956_00000112_0.jpg,1602,1348,playing,1,0,0,0,1,0,0
00000016_2,images/PPN1759208892_00000016_2.jpg,3988,3148,drawing,1,0,0,0,0,0,1
00000010_0,images/PPN175936214X_00000010_0.jpg,848,370,drawing,1,0,0,0,0,0,1
00000016_0,images/PPN175936214X_00000016_0.jpg,636,366,drawing,1,0,0,0,0,0,1
00000026_2,images/PPN1759776726_00000026_2.jpg,2058,1102,drawing,1,0,0,0,0,0,1
00000001_10,images/PPN1760003832_00000001_10.jpg,800,814,drawing,1,0,0,0,0,0,1
00000001_7,images/PPN1760003832_00000001_7.jpg,696,874,drawing,1,0,0,0,0,0,1
00000021_4,images/PPN1760003832_00000021_4.jpg,528,324,drawing,1,0,0,0,0,0,1
00000025_2,images/PPN1760003832_00000025_2.jpg,1968,2046,teaching,1,0,1,0,0,0,0
00000050_3,images/PPN1760003832_00000050_3.jpg,788,3008,family,1,0,0,1,0,0,0
00000050_4,images/PPN1760003832_00000050_4.jpg,820,2898,teaching,1,0,1,0,0,0,0
00000004_0,images/PPN1760047694_00000004_0.jpg,4096,2026,drawing,1,0,0,0,0,0,1
00000005_0,images/PPN1760047694_00000005_0.jpg,920,2752,drawing,1,0,0,0,0,0,1
00000009_1,images/PPN1760047694_00000009_1.jpg,4096,2516,drawing,1,0,0,0,0,0,1
00000010_0,images/PPN1760047694_00000010_0.jpg,400,444,drawing,1,0,0,0,0,0,1
00000010_2,images/PPN1760047694_00000010_2.jpg,650,2730,drawing,1,0,0,0,0,0,1
