Image_ID,Tier,Person,Child,Horse,Building,Weapon,Vehicle,Tree,Clothing,Text,Animal,Primary_Scene,Ambiguity_Notes
PPN188597325X/00000090_0,Gold,1,1,0,1,0,0,0,1,0,0,teaching,[SYNTHETIC — replace with human labels]
PPN1756550050/00000047_1,Gold,1,1,0,1,0,0,0,1,0,0,teaching,[SYNTHETIC — replace with human labels]
PPN188597194X/00000163_0,Gold,1,1,0,1,0,0,0,1,0,0,teaching,[SYNTHETIC — replace with human labels]
PPN188597194X/00000151_0,Gold,1,1,0,1,0,0,0,1,0,1,teaching,[SYNTHETIC — replace with human labels]
PPN1882268474/00000162_0,Gold,1,1,0,1,0,0,0,1,0,0,teaching,[SYNTHETIC — replace with human labels]
PPN1882268474/00000142_0,Gold,1,1,0,1,0,0,0,1,0,0,teaching,[SYNTHETIC — replace with human labels]
PPN1882268474/00000128_0,Gold,1,1,0,1,0,0,0,1,0,0,teaching,[SYNTHETIC — replace with human labels]
PPN1882268474/00000127_0,Gold,1,0,0,1,0,0,0,1,0,1,landscape,[SYNTHETIC — replace with human labels]
PPN1882268474/00000121_0,Gold,1,1,0,1,0,0,0,1,0,0,teaching,[SYNTHETIC — replace with human labels]
PPN1756642230/00000112_0,Gold,1,1,0,1,0,0,0,1,0,0,teaching,[SYNTHETIC — replace with human labels]
PPN1756642230/00000101_0,Gold,1,1,0,1,0,0,0,1,0,0,teaching,[SYNTHETIC — replace with human labels]
PPN1756642230/00000093_0,Gold,1,1,0,1,0,0,0,1,0,1,landscape,[SYNTHETIC — replace with human labels]
PPN1756642230/00000078_0,Gold,1,1,0,1,0,0,0,1,0,0,teaching,[SYNTHETIC — replace with human labels]
PPN1756642230/00000069_1,Gold,1,1,0,1,0,0,0,1,0,0,teaching,[SYNTHETIC — replace with human labels]
PPN1756648816/00000109_1,Gold,1,1,0,1,0,0,0,1,0,0,teaching,[SYNTHETIC — replace with human labels]
PPN1756648816/00000106_0,Gold,1,1,0,0,0,0,0,0,0,0,teaching,[SYNTHETIC — replace with human labels]
PPN1756648816/00000097_0,Gold,1,1,0,1,0,0,0,1,0,0,teaching,[SYNTHETIC — replace with human labels]
PPN1756648816/00000080_0,Gold,1,1,0,0,0,0,0,0,0,0,teaching,[SYNTHETIC — replace with human labels]
PPN1756648816/00000057_1,Gold,1,1,0,1,0,0,0,1,0,0,teaching,[SYNTHETIC — replace with human labels]
PPN1756648816/00000045_1,Gold,1,1,0,1,0,0,0,1,0,0,teaching,[SYNTHETIC — replace with human labels]
PPN1882268474/00000043_1,Gold,1,1,0,1,0,0,0,1,0,0,teaching,[SYNTHETIC — replace with human labels]
PPN1756648816/00000145_0,Gold,1,1,0,1,0,0,0,1,0,1,landscape,[SYNTHETIC — replace with human labels]
PPN1756648816/00000122_0,Gold,1,0,0,0,0,0,0,0,0,1,landscape,[SYNTHETIC — replace with human labels]
PPN1882218795/00000052_0,Gold,1,1,0,1,0,0,0,1,0,0,teaching,[SYNTHETIC — replace with human labels]
PPN1756904537/00000021_1,Gold,0,1,1,1,0,0,1,0,0,1,landscape,[SYNTHETIC — replace with human labels]
PPN1756904537/00000019_0,Gold,1,1,0,1,0,0,0,1,0,1,teaching,[SYNTHETIC — replace with human labels]
PPN1756904537/00000017_1,Gold,0,0,1,1,0,0,1,0,0,1,landscape,[SYNTHETIC — replace with human labels]
