Image_ID,Person,Child,Building,Horse,Ambiguity_Score_1_to_5,Interpretability_1_to_5,Authenticity_1_to_5,Primary_Scene,Notes
PPN1772225347/00000163_1,1,1,0,0,4,2,5,landscape,[SIMULATED_B]
PPN1852244852/00000346_0,1,0,0,1,1,4,5,landscape,[SIMULATED_B]
PPN1845710797/00000465_0,0,0,1,1,4,3,3,landscape,[SIMULATED_B]
PPN1852935251/00000265_0,1,0,1,1,4,3,4,landscape,[SIMULATED_B]
PPN1801773904/00000392_0,0,1,0,0,5,1,4,landscape,[SIMULATED_B]
PPN1832694615/00000180_0,1,0,0,1,1,5,4,landscape,[SIMULATED_B]
PPN1882292502/00000072_1,0,1,0,1,4,2,5,landscape,[SIMULATED_B]
PPN1837157073/00000112_1,1,0,1,1,4,1,4,landscape,[SIMULATED_B]
PPN1793389012/00000107_2,0,1,0,0,5,1,3,landscape,[SIMULATED_B]
PPN1822240441/00000299_1,1,0,0,1,3,3,5,landscape,[SIMULATED_B]
PPN183055154X/00000101_0,0,0,1,0,4,1,4,landscape,[SIMULATED_B]
PPN1822483654/00000194_0,0,1,1,1,1,5,4,landscape,[SIMULATED_B]
PPN183120343X/00000150_0,0,1,0,1,5,3,5,landscape,[SIMULATED_B]
PPN1814745858/00000293_0,0,1,0,1,2,5,4,landscape,[SIMULATED_B]
PPN1774772604/00000401_0,1,1,1,0,2,5,3,landscape,[SIMULATED_B]
PPN1877444650/00000004_0,1,1,0,0,4,1,4,landscape,[SIMULATED_B]
PPN1816500674/00000449_0,1,0,1,0,3,4,4,landscape,[SIMULATED_B]
PPN185512663X/00000113_1,1,0,1,1,1,5,4,landscape,[SIMULATED_B]
PPN1771331674/00000156_0,0,1,1,1,2,5,3,landscape,[SIMULATED_B]
PPN1881728234/00000261_0,0,1,0,0,4,3,4,landscape,[SIMULATED_B]
PPN1811271073/00000279_0,1,0,1,1,2,4,4,landscape,[SIMULATED_B]
PPN181340979X/00000033_0,0,1,0,1,5,1,5,landscape,[SIMULATED_B]
PPN1759171956/00000074_2,1,0,0,1,2,5,4,landscape,[SIMULATED_B]
PPN1760700134/00000027_1,0,1,1,1,1,5,5,landscape,[SIMULATED_B]
PPN1816492086/00000073_1,0,0,1,0,4,3,3,landscape,[SIMULATED_B]
PPN1800050860/00000188_1,1,0,1,1,3,2,4,landscape,[SIMULATED_B]
PPN1845413172/00000159_0,1,0,1,1,3,3,4,landscape,[SIMULATED_B]
PPN1799738051/00000355_1,1,1,0,1,1,5,4,landscape,[SIMULATED_B]
PPN1807131793/00000031_0,0,0,1,0,1,5,4,landscape,[SIMULATED_B]
PPN1850474036/00000186_0,1,1,1,1,5,2,5,landscape,[SIMULATED_B]
PPN1799716813/00000089_1,1,0,0,1,2,5,4,landscape,[SIMULATED_B]
PPN1882292502/00000055_1,0,1,0,1,4,2,3,landscape,[SIMULATED_B]
PPN177108474X/00000203_1,0,0,1,0,4,2,4,landscape,[SIMULATED_B]
PPN1869138759/00000150_0,0,0,0,1,1,3,4,landscape,[SIMULATED_B]
PPN1839645326/00000124_2,1,1,0,1,3,2,3,landscape,[SIMULATED_B]
PPN180755645X/00000456_0,1,1,0,0,2,3,3,landscape,[SIMULATED_B]
PPN1879901595/00000012_3,1,1,0,1,3,3,5,landscape,[SIMULATED_B]
PPN177179416X/00000025_0,1,0,0,1,3,4,5,landscape,[SIMULATED_B]
PPN1851261869/00000094_1,0,1,0,0,3,2,4,landscape,[SIMULATED_B]
PPN1760700134/00000031_0,0,0,1,0,1,5,3,landscape,[SIMULATED_B]
PPN1772585998/00000334_0,1,0,1,1,2,5,5,landscape,[SIMULATED_B]
PPN1818574098/00000031_2,1,1,1,0,3,4,4,landscape,[SIMULATED_B]
PPN1886043604/00000122_0,0,1,1,0,5,2,4,landscape,[SIMULATED_B]
PPN1811957722/00000140_0,1,1,1,0,1,4,5,landscape,[SIMULATED_B]
PPN1852146427/00000064_9,1,0,0,1,3,1,4,landscape,[SIMULATED_B]
PPN1882292502/00000119_3,0,1,0,0,3,1,3,landscape,[SIMULATED_B]
PPN1819092992/00000311_0,0,0,1,0,3,2,4,landscape,[SIMULATED_B]
PPN1837157073/00000021_6,0,0,0,0,3,2,4,landscape,[SIMULATED_B]
PPN1833424271/00000019_3,0,1,1,1,5,1,4,landscape,[SIMULATED_B]
PPN1816500674/00000704_0,0,1,0,1,3,2,5,landscape,[SIMULATED_B]
PPN184528948X/00000097_0,1,1,0,1,1,5,3,landscape,[SIMULATED_B]
PPN1850578605/00000105_1,1,0,1,1,2,2,5,landscape,[SIMULATED_B]
PPN1815764333/00000414_0,1,0,0,1,3,3,3,landscape,[SIMULATED_B]
PPN1837157073/00000164_0,0,0,0,1,5,1,4,landscape,[SIMULATED_B]
PPN1807525392/00000101_0,0,0,1,0,1,5,5,landscape,[SIMULATED_B]
PPN1808605667/00000244_0,1,0,0,0,3,3,4,landscape,[SIMULATED_B]
PPN1756904537/00000023_1,1,1,1,1,3,2,4,landscape,[SIMULATED_B]
PPN1794690662/00000265_0,0,1,0,1,1,5,5,landscape,[SIMULATED_B]
PPN1844594661/00000232_1,0,0,0,1,3,3,3,landscape,[SIMULATED_B]
PPN1877645559/00000017_5,1,0,0,1,4,1,3,landscape,[SIMULATED_B]
PPN1858422132/00000223_1,1,0,1,1,4,2,5,landscape,[SIMULATED_B]
PPN1831903555/00000051_1,1,1,0,1,1,4,4,landscape,[SIMULATED_B]
PPN1782123903/00000159_0,1,0,1,1,1,5,4,landscape,[SIMULATED_B]
PPN184528948X/00000163_0,0,0,1,1,1,5,4,landscape,[SIMULATED_B]
PPN1774449641/00000359_0,1,0,1,0,4,2,3,landscape,[SIMULATED_B]
PPN1816500674/00000727_0,0,0,0,0,3,1,5,landscape,[SIMULATED_B]
PPN180755645X/00000436_1,0,0,1,1,3,3,4,landscape,[SIMULATED_B]
PPN1838205772/00000061_1,0,1,1,0,3,2,5,landscape,[SIMULATED_B]
PPN1881728234/00000250_0,1,1,1,1,4,2,5,landscape,[SIMULATED_B]
PPN1879820102/00000041_1,0,0,0,1,4,2,4,landscape,[SIMULATED_B]
PPN1868089509/00000033_0,1,0,0,1,1,4,5,landscape,[SIMULATED_B]
PPN1817987607/00000574_0,0,1,0,1,3,2,4,landscape,[SIMULATED_B]
PPN1762691108/00000139_2,1,0,0,1,5,1,4,landscape,[SIMULATED_B]
PPN1816500674/00000437_0,0,1,0,0,4,2,3,landscape,[SIMULATED_B]
PPN1772587273/00000101_0,0,0,0,1,1,5,4,landscape,[SIMULATED_B]
PPN1837157073/00000145_2,0,1,0,1,1,4,4,landscape,[SIMULATED_B]
